Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,data_origin
02/08/2022,Crystal Palace,Brighton,1,0,H,3,3,synthetic_demo
03/08/2022,Liverpool,Aston Villa,1,1,D,4,3,synthetic_demo
03/08/2022,Liverpool,Burnley,0,0,D,6,2,synthetic_demo
04/08/2022,Man United,Crystal Palace,2,1,H,2,2,synthetic_demo
05/08/2022,Liverpool,Fulham,1,2,A,5,5,synthetic_demo
05/08/2022,Man United,Brentford,1,0,H,4,4,synthetic_demo
06/08/2022,Tottenham,Leeds,1,1,D,6,3,synthetic_demo
07/08/2022,Chelsea,Brentford,3,1,H,8,3,synthetic_demo
08/08/2022,Leeds,Bournemouth,1,1,D,3,2,synthetic_demo
08/08/2022,Arsenal,Leeds,3,0,H,5,3,synthetic_demo
09/08/2022,Nott'm Forest,Man City,4,1,H,10,4,synthetic_demo
10/08/2022,Man City,Tottenham,3,1,H,8,2,synthetic_demo
10/08/2022,Brighton,Everton,2,1,H,7,2,synthetic_demo
11/08/2022,Everton,Leeds,1,1,D,4,3,synthetic_demo
12/08/2022,Brentford,West Ham,1,0,H,4,4,synthetic_demo
13/08/2022,Man United,Fulham,1,1,D,5,3,synthetic_demo
13/08/2022,Tottenham,Man City,2,2,D,4,9,synthetic_demo
14/08/2022,Everton,Nott'm Forest,2,0,H,7,2,synthetic_demo
15/08/2022,Everton,Wolves,0,0,D,3,4,synthetic_demo
15/08/2022,Brighton,Arsenal,2,1,H,4,4,synthetic_demo
16/08/2022,Brighton,West Ham,4,0,H,7,2,synthetic_demo
17/08/2022,Brentford,Man City,0,4,A,6,14,synthetic_demo
18/08/2022,Sunderland,Everton,0,3,A,3,5,synthetic_demo
18/08/2022,Chelsea,Liverpool,0,0,D,5,6,synthetic_demo
19/08/2022,Crystal Palace,Liverpool,1,0,H,4,10,synthetic_demo
20/08/2022,Arsenal,Aston Villa,1,0,H,9,5,synthetic_demo
20/08/2022,Man City,Burnley,2,1,H,6,5,synthetic_demo
21/08/2022,Burnley,Liverpool,0,0,D,4,4,synthetic_demo
22/08/2022,Leeds,Arsenal,2,0,H,4,5,synthetic_demo
23/08/2022,Nott'm Forest,Bournemouth,3,0,H,4,3,synthetic_demo
23/08/2022,Everton,Burnley,1,2,A,4,4,synthetic_demo
24/08/2022,Fulham,Newcastle,0,0,D,3,3,synthetic_demo
25/08/2022,Bournemouth,Tottenham,3,0,H,5,4,synthetic_demo
25/08/2022,Brighton,Man City,1,2,A,2,8,synthetic_demo
26/08/2022,Tottenham,Brentford,0,1,A,3,6,synthetic_demo
27/08/2022,Bournemouth,Newcastle,1,1,D,4,4,synthetic_demo
28/08/2022,Wolves,Everton,0,1,A,5,2,synthetic_demo
28/08/2022,West Ham,Brighton,0,0,D,4,1,synthetic_demo
29/08/2022,Wolves,Liverpool,1,1,D,3,4,synthetic_demo
30/08/2022,Sunderland,Brentford,0,1,A,3,6,synthetic_demo
30/08/2022,Man City,Crystal Palace,0,1,A,5,4,synthetic_demo
31/08/2022,Sunderland,Aston Villa,3,1,H,7,3,synthetic_demo
01/09/2022,Leeds,West Ham,2,4,A,4,10,synthetic_demo
01/09/2022,Brentford,Arsenal,3,0,H,6,1,synthetic_demo
02/09/2022,Liverpool,Everton,4,0,H,5,5,synthetic_demo
03/09/2022,Bournemouth,Brighton,0,1,A,3,1,synthetic_demo
04/09/2022,Bournemouth,Man City,0,4,A,2,8,synthetic_demo
04/09/2022,Aston Villa,Bournemouth,1,0,H,5,2,synthetic_demo
05/09/2022,Chelsea,Man City,0,1,A,3,3,synthetic_demo
06/09/2022,Wolves,West Ham,0,3,A,1,5,synthetic_demo
06/09/2022,Arsenal,Brentford,1,1,D,6,4,synthetic_demo
07/09/2022,Chelsea,Brighton,2,1,H,3,3,synthetic_demo
08/09/2022,Tottenham,Man United,1,0,H,3,3,synthetic_demo
09/09/2022,Everton,Fulham,0,1,A,2,2,synthetic_demo
09/09/2022,Nott'm Forest,Everton,3,0,H,9,1,synthetic_demo
10/09/2022,Arsenal,Everton,0,0,D,8,4,synthetic_demo
11/09/2022,Burnley,Everton,1,2,A,3,5,synthetic_demo
11/09/2022,Crystal Palace,Sunderland,2,1,H,4,2,synthetic_demo
12/09/2022,Brighton,Liverpool,1,0,H,6,3,synthetic_demo
13/09/2022,Brentford,Crystal Palace,0,1,A,4,4,synthetic_demo
14/09/2022,Crystal Palace,West Ham,1,1,D,3,5,synthetic_demo
14/09/2022,Brentford,Liverpool,1,1,D,6,3,synthetic_demo
15/09/2022,Liverpool,Newcastle,0,3,A,7,6,synthetic_demo
16/09/2022,Leeds,Man City,0,3,A,1,4,synthetic_demo
16/09/2022,Man City,Bournemouth,1,0,H,3,2,synthetic_demo
17/09/2022,Burnley,West Ham,1,1,D,7,7,synthetic_demo
18/09/2022,Everton,Bournemouth,2,1,H,4,5,synthetic_demo
19/09/2022,Brentford,Bournemouth,2,1,H,6,3,synthetic_demo
19/09/2022,Sunderland,West Ham,1,2,A,4,6,synthetic_demo
20/09/2022,Tottenham,Newcastle,0,4,A,8,7,synthetic_demo
21/09/2022,West Ham,Crystal Palace,2,1,H,5,4,synthetic_demo
21/09/2022,West Ham,Sunderland,1,2,A,4,7,synthetic_demo
22/09/2022,Newcastle,Liverpool,1,0,H,4,4,synthetic_demo
23/09/2022,Tottenham,West Ham,0,2,A,1,6,synthetic_demo
24/09/2022,Wolves,Brentford,1,0,H,5,4,synthetic_demo
24/09/2022,Newcastle,Aston Villa,3,0,H,5,2,synthetic_demo
25/09/2022,Nott'm Forest,Tottenham,0,2,A,4,6,synthetic_demo
26/09/2022,West Ham,Newcastle,2,1,H,4,7,synthetic_demo
26/09/2022,Tottenham,Arsenal,2,2,D,9,4,synthetic_demo
27/09/2022,Fulham,Man City,0,2,A,6,8,synthetic_demo
28/09/2022,Arsenal,Sunderland,2,2,D,7,5,synthetic_demo
28/09/2022,Crystal Palace,Tottenham,0,1,A,4,3,synthetic_demo
29/09/2022,Burnley,Newcastle,0,2,A,0,4,synthetic_demo
30/09/2022,Liverpool,Wolves,2,0,H,4,5,synthetic_demo
01/10/2022,Wolves,Man City,0,1,A,4,3,synthetic_demo
01/10/2022,Newcastle,Sunderland,2,1,H,4,6,synthetic_demo
02/10/2022,Brentford,Aston Villa,3,1,H,11,3,synthetic_demo
03/10/2022,Man United,Wolves,3,1,H,7,2,synthetic_demo
03/10/2022,Everton,Brentford,0,0,D,1,3,synthetic_demo
04/10/2022,West Ham,Burnley,0,0,D,3,2,synthetic_demo
05/10/2022,Chelsea,Sunderland,2,1,H,2,2,synthetic_demo
06/10/2022,West Ham,Wolves,3,2,H,7,5,synthetic_demo
06/10/2022,Man United,Burnley,1,0,H,3,0,synthetic_demo
07/10/2022,Leeds,Everton,2,3,A,7,6,synthetic_demo
08/10/2022,Aston Villa,Everton,3,1,H,7,3,synthetic_demo
08/10/2022,Everton,West Ham,3,1,H,8,2,synthetic_demo
09/10/2022,Aston Villa,Chelsea,2,1,H,7,4,synthetic_demo
10/10/2022,Nott'm Forest,Man United,1,0,H,8,3,synthetic_demo
11/10/2022,Liverpool,Tottenham,0,0,D,2,6,synthetic_demo
11/10/2022,Fulham,Burnley,1,2,A,3,2,synthetic_demo
12/10/2022,Everton,Liverpool,0,0,D,4,4,synthetic_demo
13/10/2022,Nott'm Forest,Liverpool,2,1,H,8,7,synthetic_demo
13/10/2022,Aston Villa,Wolves,1,1,D,5,7,synthetic_demo
14/10/2022,Crystal Palace,Burnley,2,1,H,5,4,synthetic_demo
15/10/2022,Fulham,Leeds,4,1,H,6,3,synthetic_demo
16/10/2022,Sunderland,Man United,0,0,D,4,2,synthetic_demo
16/10/2022,Sunderland,Liverpool,2,2,D,5,10,synthetic_demo
17/10/2022,Bournemouth,Aston Villa,0,1,A,5,3,synthetic_demo
18/10/2022,Wolves,Nott'm Forest,0,0,D,2,3,synthetic_demo
18/10/2022,Brentford,Burnley,0,1,A,4,2,synthetic_demo
19/10/2022,Nott'm Forest,Crystal Palace,1,0,H,3,6,synthetic_demo
20/10/2022,Brentford,Sunderland,1,0,H,2,2,synthetic_demo
21/10/2022,Chelsea,Wolves,3,1,H,12,5,synthetic_demo
21/10/2022,Nott'm Forest,Sunderland,3,1,H,6,5,synthetic_demo
22/10/2022,Fulham,Brentford,3,0,H,7,8,synthetic_demo
23/10/2022,Crystal Palace,Nott'm Forest,2,0,H,6,2,synthetic_demo
23/10/2022,Brentford,Fulham,2,1,H,6,1,synthetic_demo
24/10/2022,Brentford,Wolves,1,4,A,5,4,synthetic_demo
25/10/2022,Brentford,Brighton,0,0,D,6,9,synthetic_demo
25/10/2022,Nott'm Forest,Arsenal,0,1,A,1,5,synthetic_demo
26/10/2022,Newcastle,Arsenal,0,3,A,3,6,synthetic_demo
27/10/2022,Chelsea,Nott'm Forest,1,0,H,3,5,synthetic_demo
28/10/2022,Everton,Brighton,0,3,A,3,5,synthetic_demo
28/10/2022,Man City,Aston Villa,2,1,H,3,2,synthetic_demo
29/10/2022,Brighton,Man United,2,2,D,5,6,synthetic_demo
30/10/2022,Aston Villa,Crystal Palace,4,2,H,6,7,synthetic_demo
30/10/2022,Everton,Crystal Palace,1,0,H,1,3,synthetic_demo
31/10/2022,Sunderland,Bournemouth,0,0,D,3,6,synthetic_demo
01/11/2022,Newcastle,Nott'm Forest,1,1,D,1,6,synthetic_demo
02/11/2022,Aston Villa,Brighton,2,1,H,5,3,synthetic_demo
02/11/2022,Liverpool,West Ham,3,2,H,14,4,synthetic_demo
03/11/2022,Nott'm Forest,Newcastle,3,1,H,4,6,synthetic_demo
04/11/2022,Burnley,Nott'm Forest,0,3,A,3,5,synthetic_demo
04/11/2022,Leeds,Liverpool,0,2,A,4,7,synthetic_demo
05/11/2022,Sunderland,Arsenal,2,1,H,4,5,synthetic_demo
06/11/2022,Tottenham,Crystal Palace,2,0,H,4,2,synthetic_demo
07/11/2022,Wolves,Fulham,0,1,A,3,5,synthetic_demo
07/11/2022,Liverpool,Man City,2,0,H,10,4,synthetic_demo
08/11/2022,Leeds,Tottenham,2,0,H,5,1,synthetic_demo
09/11/2022,Sunderland,Burnley,1,1,D,3,4,synthetic_demo
09/11/2022,Wolves,Tottenham,2,1,H,3,6,synthetic_demo
10/11/2022,Everton,Man United,1,1,D,4,7,synthetic_demo
11/11/2022,Newcastle,Man United,1,1,D,4,3,synthetic_demo
12/11/2022,West Ham,Fulham,3,0,H,3,5,synthetic_demo
12/11/2022,Wolves,Chelsea,0,1,A,5,5,synthetic_demo
13/11/2022,Newcastle,Burnley,1,0,H,4,1,synthetic_demo
14/11/2022,Arsenal,Newcastle,0,2,A,3,7,synthetic_demo
14/11/2022,Man United,Arsenal,0,0,D,8,3,synthetic_demo
15/11/2022,Burnley,Wolves,1,1,D,3,2,synthetic_demo
16/11/2022,Man United,Everton,1,0,H,6,4,synthetic_demo
17/11/2022,Arsenal,Man United,2,2,D,5,7,synthetic_demo
17/11/2022,Tottenham,Bournemouth,0,0,D,2,3,synthetic_demo
18/11/2022,Newcastle,Crystal Palace,4,0,H,4,1,synthetic_demo
19/11/2022,Tottenham,Brighton,1,4,A,3,7,synthetic_demo
19/11/2022,Everton,Aston Villa,1,3,A,4,4,synthetic_demo
20/11/2022,West Ham,Nott'm Forest,2,0,H,5,3,synthetic_demo
21/11/2022,Crystal Palace,Chelsea,1,0,H,7,2,synthetic_demo
21/11/2022,Man United,Sunderland,0,0,D,6,2,synthetic_demo
22/11/2022,Chelsea,Arsenal,2,1,H,9,7,synthetic_demo
23/11/2022,Nott'm Forest,Chelsea,0,1,A,1,5,synthetic_demo
24/11/2022,Tottenham,Everton,0,0,D,1,4,synthetic_demo
24/11/2022,Wolves,Brighton,0,2,A,4,3,synthetic_demo
25/11/2022,Crystal Palace,Arsenal,2,0,H,9,2,synthetic_demo
26/11/2022,Nott'm Forest,Aston Villa,1,5,A,2,7,synthetic_demo
26/11/2022,Crystal Palace,Bournemouth,0,0,D,2,3,synthetic_demo
27/11/2022,Leeds,Chelsea,2,3,A,6,11,synthetic_demo
28/11/2022,Nott'm Forest,Leeds,2,2,D,8,4,synthetic_demo
29/11/2022,Newcastle,Brighton,1,2,A,6,2,synthetic_demo
29/11/2022,Leeds,Man United,2,1,H,6,2,synthetic_demo
30/11/2022,West Ham,Man City,0,2,A,1,6,synthetic_demo
01/12/2022,Man United,Aston Villa,1,3,A,7,7,synthetic_demo
01/12/2022,Arsenal,Tottenham,7,2,H,9,4,synthetic_demo
02/12/2022,Crystal Palace,Man United,0,1,A,3,5,synthetic_demo
03/12/2022,Sunderland,Fulham,0,1,A,4,2,synthetic_demo
04/12/2022,Wolves,Leeds,3,0,H,4,3,synthetic_demo
04/12/2022,Brighton,Fulham,1,0,H,4,4,synthetic_demo
05/12/2022,Bournemouth,Nott'm Forest,1,2,A,6,8,synthetic_demo
06/12/2022,Crystal Palace,Man City,0,1,A,3,2,synthetic_demo
06/12/2022,Man United,Leeds,3,0,H,4,3,synthetic_demo
07/12/2022,Newcastle,Man City,1,2,A,7,5,synthetic_demo
08/12/2022,Sunderland,Crystal Palace,1,1,D,4,4,synthetic_demo
09/12/2022,West Ham,Brentford,2,1,H,5,6,synthetic_demo
09/12/2022,Liverpool,Bournemouth,2,0,H,7,3,synthetic_demo
10/12/2022,Arsenal,Liverpool,1,0,H,6,2,synthetic_demo
11/12/2022,Burnley,Bournemouth,1,0,H,6,2,synthetic_demo
11/12/2022,Brentford,Man United,3,0,H,6,3,synthetic_demo
12/12/2022,Fulham,Nott'm Forest,0,0,D,2,5,synthetic_demo
13/12/2022,Brentford,Everton,1,0,H,3,4,synthetic_demo
14/12/2022,Liverpool,Brentford,0,0,D,4,5,synthetic_demo
14/12/2022,Aston Villa,Nott'm Forest,3,1,H,8,6,synthetic_demo
15/12/2022,Burnley,Brighton,1,0,H,2,3,synthetic_demo
16/12/2022,Aston Villa,Man United,0,1,A,2,3,synthetic_demo
16/12/2022,Aston Villa,Sunderland,3,1,H,8,4,synthetic_demo
17/12/2022,Crystal Palace,Leeds,0,1,A,3,4,synthetic_demo
18/12/2022,Liverpool,Arsenal,0,1,A,1,12,synthetic_demo
18/12/2022,Wolves,Bournemouth,5,0,H,6,1,synthetic_demo
19/12/2022,Tottenham,Chelsea,1,3,A,1,12,synthetic_demo
20/12/2022,Leeds,Brentford,0,0,D,4,3,synthetic_demo
21/12/2022,Leeds,Brighton,1,3,A,4,6,synthetic_demo
21/12/2022,West Ham,Liverpool,1,2,A,7,11,synthetic_demo
22/12/2022,Chelsea,Leeds,1,2,A,3,5,synthetic_demo
23/12/2022,Arsenal,Wolves,3,0,H,7,2,synthetic_demo
23/12/2022,Chelsea,Fulham,1,1,D,2,3,synthetic_demo
24/12/2022,Bournemouth,Leeds,1,1,D,3,4,synthetic_demo
25/12/2022,Tottenham,Liverpool,0,3,A,3,9,synthetic_demo
26/12/2022,Nott'm Forest,Fulham,1,1,D,7,5,synthetic_demo
26/12/2022,West Ham,Everton,2,0,H,5,1,synthetic_demo
27/12/2022,Fulham,Everton,1,1,D,7,4,synthetic_demo
28/12/2022,Chelsea,Newcastle,0,1,A,6,4,synthetic_demo
28/12/2022,Liverpool,Nott'm Forest,2,0,H,5,5,synthetic_demo
29/12/2022,Everton,Chelsea,1,3,A,3,3,synthetic_demo
30/12/2022,Wolves,Arsenal,1,1,D,3,8,synthetic_demo
31/12/2022,Arsenal,Nott'm Forest,3,0,H,7,4,synthetic_demo
31/12/2022,Fulham,Man United,0,3,A,4,8,synthetic_demo
01/01/2023,Fulham,Crystal Palace,0,1,A,3,4,synthetic_demo
02/01/2023,Everton,Arsenal,2,0,H,9,4,synthetic_demo
02/01/2023,Liverpool,Man United,1,2,A,5,5,synthetic_demo
03/01/2023,Wolves,Newcastle,0,3,A,4,6,synthetic_demo
04/01/2023,Brighton,Burnley,2,2,D,5,3,synthetic_demo
05/01/2023,Sunderland,Man City,3,1,H,4,8,synthetic_demo
05/01/2023,Brentford,Newcastle,1,1,D,4,5,synthetic_demo
06/01/2023,Fulham,Chelsea,2,0,H,2,4,synthetic_demo
07/01/2023,Burnley,Sunderland,3,1,H,6,3,synthetic_demo
07/01/2023,Leeds,Newcastle,1,0,H,3,6,synthetic_demo
08/01/2023,Tottenham,Aston Villa,2,0,H,6,5,synthetic_demo
09/01/2023,Everton,Tottenham,1,3,A,6,9,synthetic_demo
10/01/2023,Man United,Chelsea,0,3,A,1,9,synthetic_demo
10/01/2023,Fulham,Brighton,2,0,H,9,3,synthetic_demo
11/01/2023,Man United,Nott'm Forest,1,1,D,4,3,synthetic_demo
12/01/2023,Aston Villa,Leeds,0,3,A,7,6,synthetic_demo
12/01/2023,Newcastle,Everton,1,0,H,4,1,synthetic_demo
13/01/2023,Bournemouth,Brentford,0,3,A,3,7,synthetic_demo
14/01/2023,Newcastle,Bournemouth,1,2,A,1,5,synthetic_demo
14/01/2023,Man United,Brighton,1,0,H,7,4,synthetic_demo
15/01/2023,Newcastle,Chelsea,1,2,A,7,6,synthetic_demo
16/01/2023,Bournemouth,Crystal Palace,1,0,H,2,4,synthetic_demo
17/01/2023,Brighton,Chelsea,2,3,A,6,7,synthetic_demo
17/01/2023,Fulham,Liverpool,1,3,A,7,6,synthetic_demo
18/01/2023,Everton,Man City,0,1,A,2,5,synthetic_demo
19/01/2023,Newcastle,West Ham,2,2,D,5,6,synthetic_demo
19/01/2023,West Ham,Arsenal,1,0,H,4,4,synthetic_demo
20/01/2023,Burnley,Aston Villa,3,1,H,3,6,synthetic_demo
21/01/2023,Man City,Fulham,0,1,A,4,3,synthetic_demo
22/01/2023,West Ham,Man United,1,1,D,4,4,synthetic_demo
22/01/2023,Burnley,Chelsea,0,0,D,3,3,synthetic_demo
23/01/2023,Bournemouth,Liverpool,1,3,A,4,9,synthetic_demo
24/01/2023,Man City,Man United,2,0,H,4,3,synthetic_demo
24/01/2023,Sunderland,Tottenham,0,2,A,1,3,synthetic_demo
25/01/2023,Nott'm Forest,Brentford,1,0,H,3,0,synthetic_demo
26/01/2023,Man City,West Ham,0,0,D,4,0,synthetic_demo
27/01/2023,Arsenal,Fulham,1,1,D,9,3,synthetic_demo
27/01/2023,Man City,Nott'm Forest,2,0,H,6,3,synthetic_demo
28/01/2023,Burnley,Man City,0,5,A,3,7,synthetic_demo
29/01/2023,Brighton,Tottenham,0,1,A,3,4,synthetic_demo
29/01/2023,Man United,Newcastle,0,4,A,5,8,synthetic_demo
30/01/2023,Aston Villa,Man City,1,3,A,6,6,synthetic_demo
31/01/2023,Tottenham,Wolves,1,1,D,14,8,synthetic_demo
01/02/2023,Chelsea,Bournemouth,1,1,D,3,5,synthetic_demo
01/02/2023,Tottenham,Fulham,0,0,D,8,2,synthetic_demo
02/02/2023,Sunderland,Leeds,0,2,A,1,5,synthetic_demo
03/02/2023,Man United,West Ham,1,1,D,4,2,synthetic_demo
03/02/2023,Aston Villa,Fulham,2,0,H,6,2,synthetic_demo
04/02/2023,Bournemouth,Burnley,2,3,A,4,5,synthetic_demo
05/02/2023,Brighton,Aston Villa,0,2,A,5,6,synthetic_demo
06/02/2023,Wolves,Burnley,1,0,H,5,2,synthetic_demo
06/02/2023,Man United,Bournemouth,3,1,H,7,1,synthetic_demo
07/02/2023,Aston Villa,Burnley,2,0,H,6,2,synthetic_demo
08/02/2023,Chelsea,Tottenham,1,0,H,6,4,synthetic_demo
08/02/2023,Bournemouth,Chelsea,1,1,D,6,2,synthetic_demo
09/02/2023,Chelsea,Everton,0,2,A,6,3,synthetic_demo
10/02/2023,Fulham,Tottenham,2,0,H,8,3,synthetic_demo
10/02/2023,Arsenal,Man City,0,1,A,2,8,synthetic_demo
11/02/2023,Bournemouth,Sunderland,2,3,A,5,4,synthetic_demo
12/02/2023,Leeds,Burnley,3,0,H,6,1,synthetic_demo
13/02/2023,Brighton,Crystal Palace,1,0,H,2,3,synthetic_demo
13/02/2023,Aston Villa,Tottenham,5,1,H,12,4,synthetic_demo
14/02/2023,West Ham,Leeds,1,2,A,3,4,synthetic_demo
15/02/2023,Man United,Tottenham,0,0,D,0,1,synthetic_demo
15/02/2023,Brentford,Tottenham,2,2,D,4,6,synthetic_demo
16/02/2023,Aston Villa,Liverpool,1,3,A,6,7,synthetic_demo
17/02/2023,Burnley,Arsenal,2,5,A,5,8,synthetic_demo
18/02/2023,Chelsea,Man United,2,0,H,5,1,synthetic_demo
18/02/2023,Nott'm Forest,West Ham,1,1,D,2,6,synthetic_demo
19/02/2023,Everton,Newcastle,0,0,D,4,3,synthetic_demo
20/02/2023,Aston Villa,Arsenal,0,1,A,1,7,synthetic_demo
20/02/2023,Fulham,Sunderland,1,0,H,9,2,synthetic_demo
21/02/2023,Brighton,Leeds,0,1,A,2,4,synthetic_demo
22/02/2023,Tottenham,Sunderland,3,2,H,4,2,synthetic_demo
23/02/2023,Newcastle,Fulham,4,1,H,6,6,synthetic_demo
23/02/2023,Arsenal,Burnley,3,0,H,9,2,synthetic_demo
24/02/2023,Aston Villa,Brentford,1,2,A,6,6,synthetic_demo
25/02/2023,Crystal Palace,Fulham,2,1,H,6,4,synthetic_demo
25/02/2023,Burnley,Brentford,1,2,A,4,4,synthetic_demo
26/02/2023,West Ham,Aston Villa,1,2,A,2,4,synthetic_demo
27/02/2023,Sunderland,Chelsea,1,2,A,2,7,synthetic_demo
28/02/2023,Fulham,Aston Villa,1,1,D,5,3,synthetic_demo
28/02/2023,Brighton,Bournemouth,2,1,H,3,2,synthetic_demo
01/03/2023,West Ham,Bournemouth,1,2,A,4,2,synthetic_demo
02/03/2023,West Ham,Chelsea,1,2,A,3,7,synthetic_demo
02/03/2023,Newcastle,Brentford,3,0,H,8,4,synthetic_demo
03/03/2023,Burnley,Crystal Palace,3,1,H,4,5,synthetic_demo
04/03/2023,Bournemouth,Wolves,3,0,H,8,6,synthetic_demo
05/03/2023,Sunderland,Nott'm Forest,2,1,H,5,5,synthetic_demo
05/03/2023,Wolves,Man United,3,0,H,7,4,synthetic_demo
06/03/2023,Fulham,West Ham,2,1,H,7,4,synthetic_demo
07/03/2023,Fulham,Arsenal,1,2,A,5,6,synthetic_demo
07/03/2023,Sunderland,Wolves,0,0,D,2,3,synthetic_demo
08/03/2023,Chelsea,Burnley,0,0,D,3,4,synthetic_demo
09/03/2023,Nott'm Forest,Wolves,3,1,H,9,2,synthetic_demo
09/03/2023,Nott'm Forest,Brighton,0,1,A,4,5,synthetic_demo
10/03/2023,Leeds,Crystal Palace,1,0,H,5,1,synthetic_demo
11/03/2023,Brighton,Brentford,2,1,H,4,6,synthetic_demo
12/03/2023,Newcastle,Leeds,3,1,H,10,4,synthetic_demo
12/03/2023,Newcastle,Wolves,1,0,H,1,4,synthetic_demo
13/03/2023,Man City,Chelsea,0,0,D,5,3,synthetic_demo
14/03/2023,Arsenal,Chelsea,1,1,D,3,3,synthetic_demo
14/03/2023,Liverpool,Sunderland,4,1,H,9,2,synthetic_demo
15/03/2023,Man City,Arsenal,2,0,H,9,4,synthetic_demo
16/03/2023,Fulham,Bournemouth,1,0,H,7,3,synthetic_demo
17/03/2023,Bournemouth,Arsenal,3,1,H,3,6,synthetic_demo
17/03/2023,Bournemouth,West Ham,1,2,A,4,7,synthetic_demo
18/03/2023,Brentford,Leeds,0,1,A,4,10,synthetic_demo
19/03/2023,Nott'm Forest,Burnley,0,2,A,2,4,synthetic_demo
19/03/2023,Crystal Palace,Brentford,0,2,A,2,3,synthetic_demo
20/03/2023,Chelsea,West Ham,2,1,H,3,3,synthetic_demo
21/03/2023,Arsenal,Bournemouth,1,3,A,5,5,synthetic_demo
22/03/2023,Brentford,Nott'm Forest,1,2,A,5,7,synthetic_demo
22/03/2023,Bournemouth,Man United,0,1,A,3,9,synthetic_demo
23/03/2023,Chelsea,Aston Villa,3,1,H,6,2,synthetic_demo
24/03/2023,Leeds,Sunderland,1,1,D,4,6,synthetic_demo
24/03/2023,Man City,Wolves,0,1,A,4,4,synthetic_demo
25/03/2023,Burnley,Tottenham,0,1,A,1,2,synthetic_demo
26/03/2023,Man City,Brentford,1,0,H,3,5,synthetic_demo
27/03/2023,Arsenal,West Ham,0,0,D,4,2,synthetic_demo
27/03/2023,Brighton,Wolves,0,0,D,6,5,synthetic_demo
28/03/2023,Wolves,Sunderland,3,0,H,7,2,synthetic_demo
29/03/2023,Arsenal,Crystal Palace,3,0,H,6,1,synthetic_demo
29/03/2023,Sunderland,Newcastle,2,1,H,3,3,synthetic_demo
30/03/2023,Brighton,Newcastle,0,1,A,3,3,synthetic_demo
31/03/2023,Man City,Everton,2,0,H,5,4,synthetic_demo
01/04/2023,Brighton,Sunderland,3,2,H,8,7,synthetic_demo
01/04/2023,Aston Villa,West Ham,2,2,D,5,4,synthetic_demo
02/04/2023,Everton,Sunderland,2,0,H,4,2,synthetic_demo
03/04/2023,Brighton,Nott'm Forest,2,1,H,7,4,synthetic_demo
03/04/2023,Leeds,Wolves,1,2,A,7,5,synthetic_demo
04/04/2023,Liverpool,Chelsea,0,1,A,0,4,synthetic_demo
05/04/2023,Liverpool,Brighton,1,1,D,5,2,synthetic_demo
05/04/2023,Man United,Man City,0,5,A,3,8,synthetic_demo
06/04/2023,Wolves,Aston Villa,0,0,D,4,0,synthetic_demo
07/04/2023,Arsenal,Brighton,1,0,H,6,2,synthetic_demo
08/04/2023,Man City,Leeds,3,0,H,7,4,synthetic_demo
08/04/2023,Tottenham,Nott'm Forest,2,4,A,3,8,synthetic_demo
09/04/2023,Chelsea,Crystal Palace,3,0,H,4,3,synthetic_demo
10/04/2023,Crystal Palace,Wolves,4,1,H,9,5,synthetic_demo
10/04/2023,Wolves,Crystal Palace,2,2,D,3,7,synthetic_demo
11/04/2023,Brentford,Chelsea,2,0,H,5,3,synthetic_demo
12/04/2023,Liverpool,Leeds,4,0,H,9,1,synthetic_demo
13/04/2023,Man City,Sunderland,3,0,H,5,1,synthetic_demo
13/04/2023,Crystal Palace,Aston Villa,1,1,D,4,6,synthetic_demo
14/04/2023,Man United,Liverpool,0,0,D,3,1,synthetic_demo
15/04/2023,Leeds,Aston Villa,0,2,A,1,5,synthetic_demo
15/04/2023,West Ham,Tottenham,1,1,D,4,7,synthetic_demo
16/04/2023,Crystal Palace,Newcastle,1,0,H,4,4,synthetic_demo
17/04/2023,Leeds,Fulham,0,0,D,2,2,synthetic_demo
18/04/2023,Burnley,Leeds,1,0,H,3,5,synthetic_demo
18/04/2023,Newcastle,Tottenham,2,0,H,4,1,synthetic_demo
19/04/2023,Aston Villa,Newcastle,2,1,H,5,6,synthetic_demo
20/04/2023,Crystal Palace,Everton,0,0,D,4,2,synthetic_demo
20/04/2023,Burnley,Fulham,1,1,D,3,2,synthetic_demo
21/04/2023,Bournemouth,Fulham,1,4,A,5,7,synthetic_demo
22/04/2023,Fulham,Wolves,1,1,D,4,4,synthetic_demo
23/04/2023,Tottenham,Burnley,0,1,A,3,3,synthetic_demo
23/04/2023,Man City,Liverpool,0,3,A,4,9,synthetic_demo
24/04/2023,Liverpool,Crystal Palace,4,0,H,6,6,synthetic_demo
25/04/2023,Man City,Brighton,3,0,H,5,2,synthetic_demo
25/04/2023,Bournemouth,Everton,3,0,H,7,3,synthetic_demo
26/04/2023,Burnley,Man United,2,2,D,5,8,synthetic_demo
27/04/2023,Leeds,Nott'm Forest,2,1,H,5,3,synthetic_demo
01/08/2023,Sunderland,Leeds,0,1,A,4,6,synthetic_demo
01/08/2023,Sunderland,Everton,0,0,D,1,5,synthetic_demo
02/08/2023,Fulham,Bournemouth,1,1,D,11,2,synthetic_demo
03/08/2023,Arsenal,Brentford,1,1,D,7,7,synthetic_demo
03/08/2023,Newcastle,Brentford,1,1,D,3,3,synthetic_demo
